id,alert_type,severity,related_entity_type,related_entity_id,title,message,is_resolved,resolved_at,resolved_by,created_at
1,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo 3 unidades,False,,,2025-10-12 12:55:54.368280
2,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo 2 unidades,False,,,2025-10-12 12:55:54.368280
3,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo 1 unidades,False,,,2025-10-12 12:55:54.368280
4,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -1 unidades,False,,,2025-10-12 12:55:54.368280
5,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -3 unidades,False,,,2025-10-12 12:55:54.368280
6,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -4 unidades,False,,,2025-10-12 12:55:54.368280
7,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -5 unidades,False,,,2025-10-12 12:55:54.368280
8,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -6 unidades,False,,,2025-10-12 12:55:54.368280
9,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -7 unidades,False,,,2025-10-12 12:55:54.368280
10,low_stock,warning,product,56,Stock bajo: Crackers Keto Sal de Mar,El producto Crackers Keto Sal de Mar tiene solo -2 unidades,False,,,2025-10-12 12:55:54.368280
11,low_stock,warning,product,57,Stock bajo: Crackers Keto Sal de Mar Individual 25 gr,El producto Crackers Keto Sal de Mar Individual 25 gr tiene solo -4 unidades,False,,,2025-10-12 12:55:54.368280
12,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -8 unidades,False,,,2025-10-12 12:55:54.368280
13,low_stock,warning,product,57,Stock bajo: Crackers Keto Sal de Mar Individual 25 gr,El producto Crackers Keto Sal de Mar Individual 25 gr tiene solo -8 unidades,False,,,2025-10-12 12:55:54.368280
14,low_stock,warning,product,29,Stock bajo: Crackers Keto Cúrcuma 135 grs,El producto Crackers Keto Cúrcuma 135 grs tiene solo -9 unidades,False,,,2025-10-12 12:55:54.368280
